Name,Address,Website,Type,Awards offered,Campus setting,Campus housing,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate,Cohort Year *,Net Price **,Largest Program,IPEDS ID,OPE ID
American College of Barbering,"11320 North Preston Highway, Louisville, Kentucky 40229-2862",www.americancollegeofbarbering.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,56,56,31%,NA,2019-20,"$19,997",Barbering/Barber,486169,04204800
American College of Barbering - Florence,"7901 Dream Street Suite #2, Florence, Kentucky 41042-1801",https://www.amricancollegeofbarbering.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,,,NA,NA,2019-20,NA,Barbering/Barber,48616901,04204801
American College of Education,"101 West Ohio Street, Suite 1200, Indianapolis, Indiana 46204",www.ace.edu/,"4-year, Private for-profit",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship,City: Large,No,10003,142,NA,NA,Fall 2016,NA,-,449889,04151300
American College of Healthcare and Technology,"11801 Pierce St., Suite 100, Riverside, California 92505",www.ach.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree;Two but less than 4 years certificate,City: Large,No,280,280,67%,NA,Fall 2019,"$10,650","Veterinary Sciences/Veterinary Clinical Sciences, General",422835,03144400
American College of Healthcare and Technology,"6330 Pacific Blvd Ste 201, Huntington Park, California 90255",www.ach.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,206,206,75%,NA,2019-20,"$10,793",Medical/Clinical Assistant,483009,03144402
American College of Healthcare and Technology-Santa Ana,"1840 East 17th Street, Santa Ana, California 92705-8680",https://www.ach.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,54,54,100%,NA,2019-20,"$12,641","Veterinary Sciences/Veterinary Clinical Sciences, General",497736,03144403
American College of Healthcare Sciences,"5005 S. Macadam Ave, Portland, Oregon 97239",www.achs.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree,City: Large,No,987,751,100%,NA,Fall 2016,"$24,605",-,443599,04194400
American Educational College,"45 Santa Cruz Street, Bayamon, Puerto Rico 00961",https://www.amedcopr.com/,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,City: Midsize,No,141,141,38%,NA,Fall 2019,"$7,095",-,241146,02303800
American Hair Academy,"304 South Iris, Mt. Pleasant, Iowa 52641",americanhairacademy.com/,"2-year, Private for-profit",Two but less than 4 years certificate,Town: Remote,No,20,20,71%,NA,Fall 2019,"$8,805","Cosmetology/Cosmetologist, General",153463,02289000
American Institute,"1117 Main Avenue, Clifton, New Jersey 07011-2379",www.americaninstitute.com/,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,,,NA,NA,Fall 2019,NA,Massage Therapy/Therapeutic Massage,18409201,02106603
American Institute of Alternative Medicine,"6685 Doubletree Ave, Columbus, Ohio 43229",www.aiam.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificate;Associate's degree;Master's degree,City: Large,No,360,336,62%,NA,Fall 2016,"$27,493",-,441636,03534400
American Institute of Alternative Medicine,"646 Rt. 18, Suite 210, East Brunswick, New Jersey 08816",massageschoolnewjersey.com/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,32,32,NA,NA,2019-20,NA,Massage Therapy/Therapeutic Massage,487852,04234400
American Institute of Beauty,"3665 East Bay Drive Suite 164, Largo, Florida 33771",www.aibschool.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,153,153,76%,NA,2019-20,"$10,125","Cosmetology and Related Personal Grooming Arts, Other",447883,04016500
American Institute of Healthcare & Technology,"480 Lordship Boulevard, Stratford, Connecticut 06615-7149",https://www.aiht.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,76,76,89%,NA,Fall 2019,"$28,229",Cardiovascular Technology/Technologist,493682,04279000
American Institute of Massage Therapy,"1516 Brookhollow Drive, Unit C, Santa Ana, California 92705-5401",www.aimtinc.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,20,20,99%,NA,2019-20,"$16,033",Massage Therapy/Therapeutic Massage,447795,03962300
American Institute of Medical Sciences & Education,"4500 New Brunswick Ave, Piscataway, New Jersey 08854",www.aimseducation.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,251,251,75%,NA,Fall 2019,NA,Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,455202,04136400
American Institute-Cherry Hill,"2201 Route 38 8th Floor, Cherry Hill, New Jersey 08002-4309",https://www.americaninstitute.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,282,282,NA,NA,2019-20,"$18,502",Medical/Clinical Assistant,497329,02106607
American Institute-Clifton,"346 LEXINGTON AVE, CLIFTON, New Jersey 07011",www.americaninstitute.com/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,760,760,48%,NA,Fall 2019,"$18,577",Medical/Clinical Assistant,184092,02106601
American Institute-Somerset,"80 Cottontail Lane, Somerset, New Jersey 08873-1100",www.americaninstitute.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,322,322,45%,NA,2019-20,"$17,621",Medical/Clinical Assistant,490869,02106606
American Institute-Toms River,"2363 Lakewood Rd, Toms River, New Jersey 08755",www.americaninstitute.com/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,397,397,51%,NA,Fall 2019,"$17,865",Medical/Clinical Assistant,482963,02106605
American Institute-West Hartford,"99 South Street, West Hartford, Connecticut 06110-1922",americaninstitute.com/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,369,369,58%,NA,Fall 2019,"$19,611",Medical/Clinical Assistant,129482,02106600
American InterContinental University,"2200 E Germann Rd, Chandler, Arizona 85286",www.aiuniv.edu/,"4-year, Private for-profit",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship;Doctor's degree - professional practice,Rural: Fringe,No,14333,10447,23%,NA,Fall 2016,"$13,808",-,445027,02113600
American InterContinental University-Atlanta,"6600 Peachtree Dunwoody Road, 500 Embassy Row, Atlanta, Georgia 30328",www.aiuniv.edu/online-campus/campus-locations/atlanta,"4-year, Private for-profit",Less than one year certificate;Associate's degree;Bachelor's degree;Master's degree,City: Midsize,No,1050,958,20%,NA,Fall 2016,"$15,509",-,438586,02113613
American InterContinental University-Houston,"9999 Richmond Avenue, Houston, Texas 77042",www.aiuniv.edu/online-campus/campus-locations/houston,"4-year, Private for-profit",Less than one year certificate;Associate's degree;Bachelor's degree;Master's degree,City: Large,No,171,122,28%,NA,Fall 2016,"$16,305",-,445133,02113610
American Massage & Bodywork Institute,"1593 Spring Hill Road, Suite 210, Vienna, Virginia 22182-2245",www.ambimassageschool.com/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,88,88,85%,NA,2019-20,"$21,789",Massage Therapy/Therapeutic Massage,492643,04276300
American Medical Academy,"12215 SW 112 Street, Miami, Florida 33186-4830",www.ama.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree,Suburb: Large,No,333,333,61%,2%,Fall 2016,NA,Emergency Medical Technology/Technician (EMT Paramedic),475714,04192100
American Medical Sciences Center,"225 West Broadway, Suite 410, Glendale, California 91204-5108",www.amsc.edu/,"4-year, Private for-profit",Associate's degree;Bachelor's degree,City: Midsize,No,161,161,68%,NA,Fall 2016,"$29,654",Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,461263,04159700
American National University,"1813 East Main Street, Salem, Virginia 24153",https://www.an.edu/locations/,"4-year, primarily associate's, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,Suburb: Midsize,No,1113,950,25%,NA,Fall 2016,"$13,744",-,232797,00372600
American National University-Pikeville,"50 National College Boulevard, Pikeville, Kentucky 41501-1520",https://www.an.edu/locations/,"4-year, primarily associate's, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree;Bachelor's degree;Master's degree,Rural: Fringe,No,296,237,27%,NA,Fall 2016,"$15,782",-,157021,01048900
American Public University System,"111 W Congress St, Charles Town, West Virginia 25414",https://www.apus.edu/,"4-year, Private for-profit",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship,Town: Fringe,No,48668,39206,55%,NA,Fall 2016,"$11,172",-,449339,03819300
American Technical Institute,"Ave Castiglioni U-27, Bayamon Gardens, Bayamon, Puerto Rico 00957-0000",www.amtec.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,13,13,67%,NA,2019-20,"$6,155",Motorcycle Maintenance and Repair Technology/Technician,461625,04176000
American Trade School,"3925 Industrial Drive, Saint Ann, Missouri 63074-1807",www.americantradeschool.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,Suburb: Large,No,127,127,68%,NA,Fall 2019,"$16,986","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician",461573,04174800
American University of Health Sciences,"1600 East Hill St, Signal Hill, California 90755-3612",https://www.auhs.edu/,"4-year, Private for-profit",One but less than two years certificate;Bachelor's degree;Master's degree;Doctor's degree - professional practice,Suburb: Large,No,510,347,67%,NA,Fall 2016,"$25,913",-,433004,03225300
Americare Technical School,"505 Busse Highway, Park Ridge, Illinois 60068-3143",https://www.americaretech.com/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,273,273,12%,NA,2019-20,"$39,662",-,492023,04244600
AMG School of Nursing,"110 Bridge Street, Brooklyn, New York 11201-1728",amg.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,City: Large,No,479,479,72%,28%,Fall 2019,"$32,355",Licensed Practical/Vocational Nurse Training,486415,04234900
Angeles College,"3440 Wilshire Blvd Ste 310, Los Angeles, California 90010",https://www.angelescollege.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate;Bachelor's degree;Master's degree,City: Large,No,369,365,84%,NA,Fall 2016,"$23,551",Licensed Practical/Vocational Nurse Training,457299,04160400
Angeles Institute,"17100 PIONEER BLVD, SUITE 170, ARTESIA, California 90701-2713",www.angelesinstitute.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,97,97,40%,NA,2019-20,"$24,795",Licensed Practical/Vocational Nurse Training,457314,04164400
Ann Webb Skin Institute,"11701 Jollyville Road, Austin, Texas 78759-3936",awskininstitute.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,167,167,67%,NA,2019-20,"$20,894",Aesthetician/Esthetician and Skin Care Specialist,490425,04265400
Another Level Barbering and Cosmetology School,"102 North Sycamore Street, Petersburg, Virginia 23803-3245",www.albcschool.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,50,50,100%,NA,2019-20,"$7,458","Cosmetology/Cosmetologist, General",491978,04275900
Antigua College International,"14505 Commerce Way, Miami Lakes, Florida 33016-1511",www.antigua.edu/,"4-year, Private for-profit",One but less than two years certificate;Associate's degree;Bachelor's degree,Suburb: Large,No,213,213,NA,NA,Fall 2016,"$25,860",-,496636,04282300
Antilles School of Technical Careers,"Calle Cayey # 1911, San Juan, Puerto Rico 00909",https://antillespr.edu/,"2-year, Private for-profit",One but less than two years certificate;Two but less than 4 years certificate,City: Large,No,397,397,57%,NA,Fall 2019,"$2,329",Aesthetician/Esthetician and Skin Care Specialist,241182,02234900
AOMA Graduate School of Integrative Medicine,"4701 Westgate Blvd, Austin, Texas 78745",https://aoma.edu/,"4-year, Private for-profit",Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice,City: Large,No,135,,NA,NA,Fall 2016,NA,-,429094,03156400
Apex Academy Hair Skin Nails School of Cosmetology,"1788 West Fourth Street, Ontario, Ohio 44906-1793",https://www.apexacademy2013.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Small,No,30,30,89%,NA,2019-20,"$11,972","Cosmetology/Cosmetologist, General",490434,04266100
Apex College of Veterinary Technology,"330 South El Paso Street, Colorado Springs, Colorado 80903",https://www.apexcvt.edu/,"2-year, Private for-profit",Less than one year certificate;Associate's degree,City: Large,No,36,36,NA,NA,Fall 2019,"$16,105",-,494986,04285700
Apex Technical School,"24-02 Queens Plaza South, Long Island City, New York 11101",www.apexschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,1072,1072,67%,NA,2019-20,"$15,986",Electrician,188890,00751800
Appalachian Beauty School,"25429 US HWY 119N, Belfry, Kentucky 41514",appalachianbeautyschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,Rural: Fringe,No,39,39,75%,NA,2019-20,"$10,706","Cosmetology/Cosmetologist, General",237127,02159100
Arclabs,"2615 Highway 153, B-3, Piedmont, South Carolina 29673",https://www.arclabs.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,503,503,78%,2%,2019-20,"$22,290",Welding Technology/Welder,487791,04222000
Arizona Academy of Beauty,"5631 E Speedway Blvd, Tucson, Arizona 85712",www.arizonaacademy.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,34,34,57%,NA,2019-20,"$14,622","Cosmetology/Cosmetologist, General",103954,00886400
Arizona College of Nursing-Dallas,"8330 LBJ Freeway Suite 100, Dallas, Texas 75243-1200",https://www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,296,296,NA,NA,Fall 2016,"$29,454",-,494162,03115003
Arizona College of Nursing-Fort Lauderdale,"600 Corporate Drive Suite 200, Fort Lauderdale, Florida 33334-3637",https://www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,City: Midsize,No,321,321,NA,NA,Fall 2016,"$32,440",-,495439,03115006
Arizona College of Nursing-Las Vegas,"8363 West Sunset Road, Suite 200, Las Vegas, Nevada 89113",https://www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,Suburb: Large,No,1142,1142,75%,NA,Fall 2016,"$30,040",-,487375,03115002
Arizona College of Nursing-Phoenix,"16404 North Black Canyon Highway, Suite 200, Phoenix, Arizona 85053-4058",https://www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,746,746,NA,NA,Fall 2016,"$31,740",-,495457,03115008
Arizona College of Nursing-Salt Lake City,"434 West Ascension Way, Suite 122, Murray, Utah 84123-2790",https://www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,Suburb: Large,No,258,258,NA,NA,Fall 2016,"$29,312",-,497268,03115009
Arizona College of Nursing-Tampa,"1411 N West Shore Blvd, Suite 200, Tampa, Florida 33607",https://www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,320,320,NA,NA,Fall 2016,"$21,310",-,495420,03115005
Arizona College of Nursing-Tempe,"1620 West Fountainhead Parkway, Tempe, Arizona 85282-1840",www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,City: Midsize,No,1177,1177,60%,NA,Fall 2016,"$28,726",-,421708,03115000
Arizona College of Nursing-Tucson,"5285 East Williams Circle, Suite 1000, Tucson, Arizona 85711",https://www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,City: Large,No,516,516,NA,NA,Fall 2016,"$29,109",-,495448,03115007
Arizona College-Falls Church,"3130 Fairview Park Drive Suite 800, Falls Church, Virginia 22042-4566",https://www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,Suburb: Large,No,144,144,NA,NA,Fall 2016,NA,-,498447,03115012
Arizona College-Glendale,"4425 West Olive Avenue Suite 300, Glendale, Arizona 85302-3843",https://www.arizonacollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,Suburb: Large,No,453,453,60%,NA,Fall 2019,"$25,807",-,497277,03115010
Arizona College-Mesa,"163 N Dobson Rd, Mesa, Arizona 85201",https://www.arizonacollege.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,City: Large,No,259,259,48%,NA,Fall 2019,"$27,898",-,482990,03115001
Arizona College-Ontario,"3401 North Centre Lake Drive, Ontario, California 91761-1201",https://www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,City: Midsize,No,210,210,NA,NA,Fall 2016,NA,-,498456,03115013
Arizona College-Southfield,"26200 Lasher Road Suite 400, Southfield, Michigan 48033-7157",https://www.arizonacollege.edu/,"4-year, Private for-profit",Bachelor's degree,City: Small,No,297,297,NA,NA,Fall 2016,"$34,867",-,498049,03115011
Arizona Culinary Institute,"10585 N 114th St Ste 401, Scottsdale, Arizona 85259",www.azculinary.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,150,150,82%,NA,2019-20,"$37,011",Culinary Arts/Chef Training,450951,04120900
Arizona School of Acupuncture and Oriental Medicine,"2856 E Fort Lowell Rd, Tucson, Arizona 85716-1518",www.asaom.edu/,"4-year, Private for-profit",Master's degree,City: Large,No,33,,NA,NA,Fall 2016,NA,-,446039,03695500
Arizona School of Integrative Studies,"639 N 6th ave, Tucson, Arizona 85705",asismassage.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Large,No,178,178,73%,NA,2019-20,"$12,649",Massage Therapy/Therapeutic Massage,484163,04233100
Arkansas Beauty College,"109 N Commerce St, Russellville, Arkansas 72801",https://www.arkansasbeautycollege.us/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Town: Remote,No,29,29,48%,NA,2019-20,"$10,707","Cosmetology/Cosmetologist, General",106324,03997300
Arkansas Beauty School-Little Rock,"8521 Geyer Springs Road Unit 30, Little Rock, Arkansas 72209",arbs.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,98,98,100%,NA,2019-20,"$23,739","Cosmetology/Cosmetologist, General",106315,03005100
Arkansas College of Barbering and Hair Design,"9100 Rodney Parham Suite 101, Little Rock, Arkansas 72205-4949",www.acbhd.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,,,NA,NA,2019-20,NA,Barbering/Barber,10635101,03023401
Arkansas Technical School,"200 E Washington Ave, North Little Rock, Arkansas 72114",www.arktech.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,60,60,0%,100%,2019-20,"$23,973",Barbering/Barber,106351,03023400
Arkansas Welding Academy,"1920 North Redmond Road, Jacksonville, Arkansas 72076",https://arkansasweldingacademy.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,69,69,86%,NA,2019-20,"$26,090",Welding Technology/Welder,491075,04274100
Arlington Career Institute,"901 Ave K, Grand Prairie, Texas 75050-2636",www.arlingtoncareerinstitute.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate,Suburb: Large,No,375,375,72%,NA,Fall 2019,"$24,776","Allied Health and Medical Assisting Services, Other",222886,02521200
Arnolds Beauty School,"1179 S Second St, Milan, Tennessee 38358",arnoldsbeautyschool.com/,"< 2-year, Private for-profit",One but less than two years certificate,Town: Distant,No,70,70,75%,23%,2019-20,"$14,062","Cosmetology/Cosmetologist, General",219587,02257400
Arrojo Cosmetology School,"56 King St., New York, New York 10014",www.arrojocosmetology.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,144,144,97%,NA,2019-20,"$15,139","Cosmetology/Cosmetologist, General",482194,04223100
Arthur's Beauty College,"2600 John Harden Drive, Jacksonville, Arkansas 72076",arthursbeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,37,37,50%,5%,2019-20,"$11,474","Cosmetology/Cosmetologist, General",106494,02538503
Arthur's Beauty College,"2320 Washington Avenue, Conway, Arkansas 72032",www.arthursbeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,57,57,52%,NA,2019-20,"$13,166","Cosmetology/Cosmetologist, General",445540,02538500
Arthur's Beauty College,"1903 Grant Avenue Suites, K, L, M, Jonesboro, Arkansas 72401",www.arthursbeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,76,76,49%,NA,2019-20,"$12,665","Cosmetology/Cosmetologist, General",489830,02363500
Arthur's Beauty College,"2000 North B Street, Fort Smith, Arkansas 72901-3342",www.arthursbeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Small,No,16,16,63%,21%,2019-20,"$14,584","Cosmetology/Cosmetologist, General",106360,02363502
Artistic Academy of Hair Design,"301 Gibraltar Drive, Suite 1-A, Morris Plains, New Jersey 07950",www.artisticacademy.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,102,102,89%,NA,2019-20,"$19,165","Cosmetology/Cosmetologist, General",414063,02525900
Artistic Nails and Beauty Academy-Lakeland,"985 E Memorial Blvd, Lakeland, Florida 33801",https://www.artistic.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,234,234,77%,NA,2019-20,"$14,708","Cosmetology and Related Personal Grooming Arts, Other",460701,03816301
Artistic Nails and Beauty Academy-Tampa,"4951-A Adamo Drive Ste 120, Tampa, Florida 33605",https://www.artistic.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Large,No,243,243,79%,NA,2019-20,"$12,679","Cosmetology and Related Personal Grooming Arts, Other",378886,03816300
Asher College,"1215 Howe Ave, Sacramento, California 95825",www.asher.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,Suburb: Large,No,802,802,67%,NA,Fall 2019,"$4,801",Computer and Information Systems Security/Auditing/Information Assurance,447777,04057300
Asher Institute of Hampton,"4107 West Mercury Blvd, Hampton, Virginia 23666",www.aiofhampton.edu/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,City: Midsize,No,116,116,16%,NA,2019-20,"$17,411","Cosmetology/Cosmetologist, General",234119,00953700
Ashford University,"8620 Spectrum Center Boulevard, San Diego, California 92123",www.uagc.edu/,"4-year, Private for-profit",Associate's degree;Bachelor's degree;Master's degree;Doctor's degree - research/scholarship,City: Large,No,34190,27201,10%,19%,Fall 2016,"$25,104",-,154022,00188100
ASI Career Institute,"5360 Black Horse Pike Suite 6, Turnersville, New Jersey 08012-1043",www.asi.edu/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,49,49,97%,NA,2019-20,"$11,303",Medical/Clinical Assistant,475431,04188700
Asian-American International Beauty College,"7871 Westminster Blvd, Westminster, California 92683",www.aabeautycollege.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,463,463,83%,NA,2019-20,NA,Nail Technician/Specialist and Manicurist,393861,02595600
Aspen Beauty Academy of Laurel,"3535 Fort Meade Road, Laurel, Maryland 20724",www.aspenlaurel.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,116,116,100%,NA,2019-20,"$9,621","Cosmetology/Cosmetologist, General",480994,04204000
Aspen University,"4615 E. Elwood St., Suite 100, Phoenix, Arizona 85040",https://www.aspen.edu/,"4-year, Private for-profit",Less than one year certificate;Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Doctor's degree - research/scholarship,City: Large,No,7386,4086,NA,NA,Fall 2016,"$13,781",-,454829,04080300
Associated Barber College of San Diego,"1333 5th Avenue, San Diego, California 92101-4210",associatedbarbercollege.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,115,115,23%,NA,2019-20,"$20,715",Barbering/Barber,485494,04242500
Associated Technical College-Los Angeles,"1670 Wilshire Blvd, Los Angeles, California 90017-1604",www.atcla.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Large,No,202,202,82%,NA,2019-20,"$22,174",Cardiovascular Technology/Technologist,109721,00902200
Associated Technical College-San Diego,"2650 Camino Del Rio North, Ste. 100, San Diego, California 92108-1630",www.atcsd.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Large,No,94,94,65%,NA,2019-20,"$20,888","Communications Technologies/Technicians and Support Services, Other",109730,02553500
ATA Career Education,"7351 Spring Hill Drive, Suite 11, Spring Hill, Florida 34606",www.atafl.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,Suburb: Midsize,No,194,194,60%,NA,Fall 2019,"$26,852",-,446127,04038302
ATA College,"10820 E 45th St Suite 100, Tulsa, Oklahoma 74146",www.ata.edu/campus/tulsa-ok/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,City: Large,No,177,177,43%,NA,Fall 2019,"$22,454",-,449728,04060300
ATA College,"10200 Linn Station Rd Ste 125, Louisville, Kentucky 40223",www.ata.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,Suburb: Large,No,264,264,37%,16%,Fall 2019,"$25,871",-,447935,04038300
ATA College,"1810 Gillespie Way, Suite 104, El Cajon, California 92020",https://apply.atacollege.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,Suburb: Large,No,54,54,88%,NA,Fall 2019,"$19,722",Medical/Clinical Assistant,444361,03532400
ATA College-Cincinnati,"225 Pictoria Drive, Suite 200, Cincinnati, Ohio 45246",www.ata.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,Suburb: Large,No,309,309,50%,NA,Fall 2019,"$24,296",-,452373,04038304
Atelier Esthetique Institute of Esthetics,"226 East 26th Street 7th Floor, New York, New York 10001",www.aeinstitute.net/,"< 2-year, Private for-profit",Less than one year certificate,City: Large,No,241,241,54%,NA,2019-20,"$13,317",Aesthetician/Esthetician and Skin Care Specialist,461768,04178700
Athena Career Academy,"5203 Airport Hwy, Toledo, Ohio 43615",www.athenacareers.edu/,"2-year, Private for-profit",Less than one year certificate;One but less than two years certificate;Associate's degree,City: Large,No,245,245,75%,NA,Fall 2019,"$26,034",Licensed Practical/Vocational Nurse Training,476683,04192200
ATI College-Whittier,"15141 Whittier Blvd Suite 420, Whitter, California 90603-0000",www.ati.edu/,"4-year, primarily associate's, Private for-profit",One but less than two years certificate;Associate's degree;Two but less than 4 years certificate;Bachelor's degree,Suburb: Large,No,114,114,NA,NA,Fall 2016,"$18,685",Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,444325,03740400
Atlanta Institute of Music and Media,"2875 Breckinridge Blvd., Suite 700, Duluth, Georgia 30096",aimm.edu/,"2-year, Private for-profit",One but less than two years certificate;Associate's degree,Suburb: Large,No,250,250,22%,NA,Fall 2019,"$28,273",Recording Arts Technology/Technician,419244,03104500
Atlanta School of Massage,"2 Dunwoody Park South, Atlanta, Georgia 30338",www.atlantaschoolofmassage.com/,"< 2-year, Private for-profit",Less than one year certificate;One but less than two years certificate,Suburb: Large,No,333,333,59%,NA,2019-20,"$25,232",Aesthetician/Esthetician and Skin Care Specialist,138938,02580200
Atlanta's John Marshall Law School,"245 Peachtree Center Ave. NE, Suite 1900, Atlanta, Georgia 30303",www.johnmarshall.edu/,"4-year, Private for-profit",Doctor's degree - professional practice,City: Large,No,342,,NA,NA,Fall 2016,NA,-,138929,03173300
